#prefix name     group           internal_name             RA             DEC            Discovery Time         Type            Mag     Filter                 Redshift     Host Galaxy                              Host Redshift
    AT  2022ibq             ZTF              ZTF22aagvrlq   17:50:35.785   +21:16:29.92 2022-04-01 12:00:00.000             TDE   20.27                  g_ZTF        0.395                                     None          -99  None
    AT  2022ieo           ATLAS                ATLAS22muf   17:36:04.405   +13:29:29.83 2022-04-23 12:39:55.872    Unclassified  18.894           orange_ATLAS          -99                                     None          -99  None
    AT  2022ifc          ALeRCE              ZTF22aahivyy   18:22:28.598   +32:32:41.36 2022-04-24 09:52:40.002    Unclassified 19.9946                  r_ZTF          -99                                     None          -99  None
    AT  2022iff          ALeRCE              ZTF22aahitmg   18:01:44.681   +40:47:37.09 2022-04-24 09:41:26.998    Unclassified   19.55                  r_ZTF          -99              GALEXASCJ180144.72+404737.4          -99  None
    AT  2022ifh          ALeRCE              ZTF22aahiptf   17:48:36.826   +40:01:08.01 2022-04-20 10:20:18.001    Unclassified 19.6493                  r_ZTF          -99                  SDSSJ174836.83+400107.1          -99  None
    AT  2022ifq          ALeRCE              ZTF22aahidko   17:09:05.182   +32:51:05.92 2022-04-24 07:53:41.004    Unclassified 19.8655                  r_ZTF          -99                  SDSSJ170905.14+325105.8          -99  None
    AT  2022ihl           ATLAS                ATLAS22mux   18:26:22.711   +19:00:38.00 2022-04-23 13:10:42.240    Unclassified  18.974           orange_ATLAS          -99                                     None          -99  None
    AT  2022ihp           ATLAS                ATLAS22mvb   18:32:32.985   +15:33:31.65 2022-04-24 13:23:32.928    Unclassified   18.82           orange_ATLAS          -99                                     None          -99  None
    AT  2022iif          ALeRCE              ZTF22aahmtuu   17:59:07.294   +18:46:15.59 2022-04-21 10:07:31.002    Unclassified 19.7902                  g_ZTF          -99              GALEXMSCJ175907.25+184614.7          -99  None
    AT  2022iiu           ATLAS                ATLAS22mvq   17:53:54.336   +40:55:48.53 2022-04-25 11:58:52.608    Unclassified  19.294             cyan_ATLAS          -99                                     None          -99  None
    AT  2022ijl           ATLAS                ATLAS22mxr   17:33:34.622   +29:26:44.87 2022-04-25 11:49:38.784    Unclassified  18.834             cyan_ATLAS          -99                                     None          -99  None
    AT  2022ilx             ZTF              ZTF22aahivfk   17:11:59.140   +19:58:17.06 2022-04-14 10:04:48.000    Unclassified   20.24                  r_ZTF          -99                                     None          -99  None
    AT  2022inb           ATLAS                ATLAS22mzn   18:39:25.168   +25:41:20.66 2022-04-26 11:56:57.696    Unclassified  18.644           orange_ATLAS          -99                                     None          -99  None
    AT  2022iny             ZTF              ZTF22aahnwvk   18:43:58.895   +33:09:54.15 2022-04-25 10:20:38.400    Unclassified   19.17                  g_ZTF          -99                                     None          -99  None
    AT  2022ioz             ZTF              ZTF22aahnmxe   18:58:49.327   +24:56:19.58 2022-04-25 10:40:48.000    Unclassified   18.99                  g_ZTF          -99                                     None          -99  None
    AT  2022ipa             ZTF              ZTF22aahyqon   18:56:02.943   +19:51:14.07 2022-04-27 10:27:50.400    Unclassified   17.54                  g_ZTF          -99                                     None          -99  None
    AT  2022iqh          ALeRCE              ZTF22aahyqyc   18:26:41.210   +28:41:33.17 2022-04-27 10:27:41.000    Unclassified 20.1827                  g_ZTF          -99                 WISEAJ182640.92+284134.2          -99  None
    AT  2022iqi          ALeRCE              ZTF22aahyqlj   18:35:39.174   +26:43:41.77 2022-04-25 10:23:29.999    Unclassified  19.935                  g_ZTF          -99                                     None          -99  None
    SN  2022iqj          ALeRCE              ZTF22aahyqck   19:07:36.783   +30:44:16.48 2022-04-27 10:24:59.000            SNIa 19.9533                  g_ZTF        0.061                                     None          -99  None
    AT  2022iqk          ALeRCE              ZTF22aahyqao   18:31:06.518   +37:07:21.62 2022-04-24 11:27:22.003    Unclassified 20.6381                  g_ZTF          -99                 WISEAJ183106.49+370721.1          -99  None
    AT  2022iql          ALeRCE              ZTF22aahypzm   18:23:49.456   +30:35:46.43 2022-04-24 09:52:40.002    Unclassified 20.5269                  r_ZTF          -99                                     None          -99  None
    AT  2022irx           ATLAS                ATLAS22ndi   19:01:59.161   +13:54:18.29 2022-04-27 13:13:40.224    Unclassified  19.088             cyan_ATLAS          -99                                     None          -99  None
    AT  2022isl             ZTF              ZTF22aahmttr   17:49:36.204   +16:35:11.19 2022-04-25 07:42:37.728    Unclassified 19.6109                  r_ZTF          -99                                     None          -99  None
    AT  2022isv             ZTF              ZTF22aahmtob   17:36:42.593   +16:30:54.26 2022-04-21 10:07:40.800    Unclassified   19.82                  g_ZTF          -99                                     None          -99  None
    AT  2022itc          ALeRCE              ZTF22aaiincq   17:53:34.334   +35:44:33.98 2022-04-24 09:53:20.999    Unclassified 20.5705                  r_ZTF          -99                                     None          -99  None
    SN  2022itd          ALeRCE              ZTF22aaiiiho   18:15:52.183   +12:02:15.84 2022-04-28 11:04:17.996            SNIa 19.6572                  g_ZTF         0.06                  SDSSJ181552.02+120216.5          -99  None
    AT  2022ith          ALeRCE              ZTF22aaiiaco   17:48:12.784   +23:01:58.44 2022-04-28 10:35:20.000    Unclassified 20.2307                  g_ZTF          -99                 WISEAJ174812.72+230157.4          -99  None
    AT  2022iti          ALeRCE              ZTF22aaihyln   17:29:33.513   +15:01:15.92 2022-04-24 09:56:08.002    Unclassified 19.9005                  r_ZTF          -99                 WISEAJ172933.60+150111.6          -99  None
    AT  2022its          ALeRCE              ZTF22aaihhdo   17:38:08.450   +20:35:02.54 2022-04-28 10:00:23.003    Unclassified 20.2374                  r_ZTF          -99                                     None          -99  None
    AT  2022itt          ALeRCE              ZTF22aaihger   17:43:57.909   +25:32:01.18 2022-04-24 11:10:12.003    Unclassified  19.979                  g_ZTF          -99                                     None          -99  None
    AT  2022ivr             ZTF              ZTF22aaetqeo   18:28:40.822   +20:28:48.87 2022-04-06 10:37:55.200    Unclassified    20.0                  r_ZTF          -99                                     None          -99  None
    AT  2022ixv      Pan-STARRS                   PS22dxi   18:39:40.588   +40:28:26.33 2022-04-29 13:45:08.064    Unclassified   20.26                   w_P1          -99                                     None          -99  None
