#prefix name     group           internal_name             RA             DEC            Discovery Time         Type            Mag     Filter                 Redshift     Host Galaxy                              Host Redshift
    SN  2022qdg             ZTF              ZTF22aaxtias   18:42:19.712   +17:42:24.78 2022-07-30 06:07:12.000            SNIb   19.06                  r_ZTF        0.012                                     None          -99  None
    AT  2022qdh             ZTF              ZTF22aaxmaje   18:49:27.916   +15:20:33.03 2022-07-29 06:30:14.400    Unclassified    17.4                  r_ZTF          -99                                     None          -99  None
    AT  2022qdy          ALeRCE              ZTF22aaxsuec   17:29:22.099   +13:57:39.20 2022-07-24 06:00:09.996    Unclassified 20.5928                  g_ZTF          -99                 WISEAJ172921.87+135737.4          -99  None
    AT  2022qfk         ANTARES              ZTF22aavxhqd   17:26:02.351   +35:01:48.61 2022-07-31 06:07:04.224    Unclassified 19.5276                  g_ZTF          -99                                     None          -99  None
    AT  2022qft           ATLAS                ATLAS22vua   18:00:13.070   +30:14:02.57 2022-07-22 09:26:48.768    Unclassified  19.504             cyan_ATLAS          -99                                     None          -99  None
    AT  2022qhm      Pan-STARRS                   PS22grd   18:18:54.597   +34:57:14.70 2022-07-31 06:28:28.128    Unclassified   20.75                   w_P1          -99                                     None          -99  None
    AT  2022qic      GaiaAlerts                 Gaia22dcd   19:26:38.040   +28:53:24.11 2022-07-26 01:20:38.400    Unclassified    18.6                 G_Gaia          -99                                     None          -99  None
    AT  2022qid      GaiaAlerts                 Gaia22dcg   18:10:03.800   +12:05:00.92 2022-07-26 08:42:43.200    Unclassified   18.22                 G_Gaia          -99                                     None          -99  None
    AT  2022qih      GaiaAlerts                 Gaia22dck   19:24:20.370   +28:41:56.51 2022-07-26 01:19:12.000    Unclassified   18.83                 G_Gaia          -99                                     None          -99  None
    AT  2022qjl             ZTF              ZTF22aaybuva   18:34:55.638   +26:03:25.63 2022-07-26 06:38:52.800    Unclassified   20.61                  r_ZTF          -99                                     None          -99  None
    AT  2022qld             ZTF              ZTF22aaxzsru   17:51:55.373   +41:47:48.05 2022-07-25 07:53:45.600    Unclassified   20.72                  g_ZTF          -99                                     None          -99  None
    AT  2022qox          ALeRCE              ZTF22aayqfqj   18:50:09.015   +26:39:59.09 2022-07-30 07:26:18.004    Unclassified 20.7722                  g_ZTF          -99                                     None          -99  None
    AT  2022qpi      GaiaAlerts                 Gaia22deg   18:03:28.890   +15:41:07.12 2022-07-31 13:00:28.800    Unclassified   18.99                 G_Gaia          -99                                     None          -99  None
    AT  2022qpm      GaiaAlerts                 Gaia22dek   17:57:24.190   +14:40:16.61 2022-07-31 08:45:36.000    Unclassified    17.9                 G_Gaia          -99                                     None          -99  None
    AT  2022qpn      GaiaAlerts                 Gaia22del   17:36:45.240   +11:05:28.43 2022-07-30 20:38:24.000    Unclassified   17.36                 G_Gaia          -99                                     None          -99  None
    AT  2022qsa             ZTF              ZTF22aaymafa   17:50:38.820   +38:54:39.04 2022-08-03 06:37:26.400    Unclassified   20.21                  r_ZTF          -99                                     None          -99  None
    AT  2022qsc             ZTF              ZTF22aaydagk   18:12:01.260   +24:27:30.85 2022-08-02 06:10:04.800    Unclassified   18.16                  g_ZTF          -99                                     None          -99  None
    AT  2022qsf             ZTF              ZTF22aaylxgk   17:39:16.554   +18:37:34.16 2022-07-27 06:07:12.000    Unclassified   20.96                  g_ZTF          -99                                     None          -99  None
    AT  2022qsx          ALeRCE              ZTF22aayyycv   18:07:26.009   +20:10:19.10 2022-08-06 07:24:07.998    Unclassified 20.1157                  g_ZTF          -99                 WISEAJ180726.06+201017.4          -99  None
    AT  2022qsz          ALeRCE              ZTF22aayywyf   18:17:40.086   +38:40:36.30 2022-08-06 07:20:42.996    Unclassified 20.5336                  g_ZTF          -99                 WISEAJ181739.88+384038.6          -99  None
    AT  2022qta          ALeRCE              ZTF22aayylvj   18:09:14.579   +08:51:29.04 2022-08-03 07:08:51.000    Unclassified 20.6306                  g_ZTF          -99                                     None          -99  None
    AT  2022qth          ALeRCE              ZTF22aaylygr   17:50:18.185   +21:26:08.38 2022-08-03 06:26:53.002    Unclassified 20.0809                  r_ZTF          -99                 WISEAJ175017.76+212606.5          -99  None
    AT  2022qtk         ANTARES              ZTF22aawipuc   17:20:18.679   +24:34:26.41 2022-08-06 07:57:10.368    Unclassified 20.1763                  r_ZTF          -99                                     None          -99  None
    SN  2022qzc           AMPEL                      None   17:40:15.047   +16:44:20.78 2022-07-23 07:24:08.352            SNIa   20.32                  g_ZTF         0.17                                     None          -99  None
    AT 2022aemu                                 ZTF              ZTF22aasnlnk   18:57:36.107   +38:44:48.32 2022-06-09 09:25:55.200    Unclassified   20.83                  g-ZTF          -99                                     None          -99                      None
    AT 2022aelg                                 ZTF              ZTF19addxgdm   19:15:04.245   +37:13:37.91 2022-06-27 07:46:33.600    Unclassified    20.4                  g-ZTF          -99                                     None          -99                      None
    AT 2022aekz                                 ZTF              ZTF22aajjsru   16:53:21.704   +23:26:58.54 2022-06-20 07:07:40.800    Unclassified   19.57                  r-ZTF          -99                                     None          -99                      None
    AT  2022tda                          Pan-STARRS                   PS22hry   17:29:16.583   +14:37:51.64 2022-07-25 08:21:06.336    Unclassified    21.3                   w-P1          -99                                     None          -99                      None
    SN  2022saw                                 ZTF              ZTF22aarmiqk   18:09:16.421   +22:09:48.23 2022-07-02 08:29:34.368            SNIa 20.1759                  g-ZTF        0.136                                     None          -99       2022TNSCR2500....1S
    AT  2022qus                          GaiaAlerts                 Gaia22dgk   19:38:29.280   +30:46:30.00 2022-08-05 03:15:50.400    Unclassified   16.57                 G-Gaia          -99                                     None          -99                      None
    AT  2022qqb                          Pan-STARRS                   PS22gty   17:32:15.340   +09:03:23.29 2022-07-05 06:32:34.368    Unclassified   20.72                   w-P1          -99                                     None          -99                      None
    AT  2022qlx             ANTARES,Fink,Pan-STARRS              ZTF22aaylwis   17:47:27.045   +44:10:54.08 2022-08-03 07:54:18.432    Unclassified 19.9548                  g-ZTF          -99                                     None          -99                      None
    AT  2022qjr                          Pan-STARRS                   PS22gsl   18:17:11.737   +45:17:15.64 2022-08-02 07:39:31.104    Unclassified   20.82                   w-P1          -99                                     None          -99                      None
    AT  2022qdb                      ATLAS,ZTF,Fink                ATLAS22xnw   17:29:58.553   +09:59:06.73 2022-07-28 07:38:40.128    Unclassified  19.098           orange-ATLAS          -99                                     None          -99                      None
    AT  2022qav                   ALeRCE,Pan-STARRS              ZTF22aaxlbfe   16:57:33.037   +35:59:54.21 2022-07-27 07:19:26.999    Unclassified 20.3734                  r-ZTF          -99                  SDSSJ165732.96+355955.3          -99                      None
    AT  2022pzo                           ZTF,ATLAS              ZTF22aaxcztf   18:03:43.830   +06:04:21.08 2022-07-28 06:33:07.200    Unclassified   18.75                  r-ZTF          -99                                     None          -99                      None
    AT  2022pww                               ATLAS                ATLAS22wzs   16:47:18.914   +24:30:22.51 2022-07-25 09:14:47.328    Unclassified   19.25             cyan-ATLAS          -99                                     None          -99                      None
    AT  2022psn                        ALeRCE,ATLAS              ZTF22aawibke   17:03:53.602   +36:23:27.34 2022-07-23 06:10:53.996    Unclassified 20.9182                  r-ZTF          -99                  SDSSJ170353.26+362324.0          -99                      None
    SN  2022prr                         ASAS-SN,ZTF               ASASSN-22jn   19:01:41.897   +40:45:03.67 2022-07-27 07:12:00.000           SNIIn    17.3                g-Sloan      0.01516                                  NGC6745      0.01516       2022TNSCR2129....1J
    AT  2022pll                              ALeRCE              ZTF22aatymow   16:50:38.223   +31:42:43.73 2022-07-21 06:14:42.999    Unclassified 20.7455                  g-ZTF          -99                  SDSSJ165038.39+314244.3          -99                      None
    AT  2022plk                              ALeRCE              ZTF22aaugvnu   16:59:00.788   +38:04:35.15 2022-07-19 06:16:37.998    Unclassified 20.7673                  r-ZTF          -99                  SDSSJ165900.93+380435.0          -99                      None
    AT  2022pkt                   ALeRCE,Pan-STARRS              ZTF22aavczfb   16:47:06.902   +30:50:52.22 2022-07-21 06:14:42.999    Unclassified 20.7233                  g-ZTF          -99                  SDSSJ164706.81+305051.3          -99                      None
    AT  2022pca                   ALeRCE,Pan-STARRS              ZTF22aauhjop   18:32:16.054   +43:53:05.84 2022-07-19 06:26:37.000    Unclassified 20.2179                  r-ZTF          -99                 WISEAJ183216.35+435302.2          -99                      None
    AT  2022pbt                Pan-STARRS,ATLAS,ZTF                   PS22gds   16:56:53.221   +27:33:01.93 2022-07-19 08:12:53.856    Unclassified   19.57                   w-P1          -99                                     None          -99                      None
    AT  2022pbo                          Pan-STARRS                   PS22gdm   16:59:52.125   +31:20:14.80 2022-07-19 08:09:08.352    Unclassified   21.24                   w-P1          -99                                     None          -99                      None
    AT  2022pbj                          Pan-STARRS                   PS22gdg   16:51:50.300   +28:36:15.62 2022-07-19 08:10:06.240    Unclassified   20.66                   w-P1          -99                                     None          -99                      None
    AT  2022pbi                          Pan-STARRS                   PS22gdf   17:01:50.095   +33:31:05.14 2022-07-19 08:08:13.920    Unclassified   21.48                   w-P1          -99                                     None          -99                      None
    AT  2022oxo                              ALeRCE              ZTF22aatsbjo   16:49:29.441   +22:49:18.16 2022-07-16 05:04:49.999    Unclassified 20.3165                  r-ZTF          -99                  SDSSJ164929.40+224916.7          -99                      None
    AT  2022oxk                              ALeRCE              ZTF22aattzza   18:52:20.201   +43:54:54.25 2022-07-16 08:15:59.003    Unclassified 19.0793                  r-ZTF          -99                 WISEAJ185220.10+435453.4          -99                      None
    AT  2022osl                        ALeRCE,ATLAS              ZTF22aasuqme   16:57:21.318   +25:33:55.20 2022-07-08 07:12:50.000    Unclassified 20.5437                  g-ZTF          -99                  SDSSJ165721.35+253354.8          -99                      None
    AT  2022ons                              ALeRCE              ZTF22aasbxui   17:50:41.690   +44:02:03.17 2022-07-02 08:13:33.997    Unclassified 21.1933                  g-ZTF          -99                 WISEAJ175041.46+440200.6          -99                      None
    AT  2022ohb                          Pan-STARRS                   PS22fwp   17:07:17.698   +13:32:18.58 2022-07-05 06:41:42.144    Unclassified   20.73                   w-P1          -99                                     None          -99                      None
    AT  2022nte                          Pan-STARRS                   PS22fsh   17:45:57.739   +44:15:49.80 2022-06-11 11:16:54.048    Unclassified   21.24                   i-P1          -99                                     None          -99                      None
    AT  2022nsa                          Pan-STARRS                   PS22frj   17:31:13.433   +11:13:01.92 2022-06-08 09:22:01.920    Unclassified   21.08                   w-P1          -99                                     None          -99                      None
    AT  2022nrb                             ANTARES              ZTF22aanptcx   17:19:26.214   +39:52:46.30 2022-06-26 08:39:38.304    Unclassified 20.0295                  r-ZTF          -99                                     None          -99                      None
    AT  2022npp                          Pan-STARRS                   PS22fqk   17:34:56.036   +08:29:21.01 2022-06-26 07:11:17.664              CV   18.94                   w-P1          0.0                                     None          -99       2022TNSCR1846....1H
    AT  2022npn                          Pan-STARRS                   PS22fqj   17:08:57.898   +15:43:23.90 2022-06-26 07:07:39.936    Unclassified   20.81                   w-P1          -99                                     None          -99                      None
    AT  2022nmc                          Pan-STARRS                   PS22fqc   16:57:39.894   +28:49:39.95 2022-06-24 09:46:22.944    Unclassified   20.68                   w-P1          -99                                     None          -99                      None
    AT  2022nma                          Pan-STARRS                   PS22fpz   17:01:51.827   +33:05:25.17 2022-06-24 09:50:02.400    Unclassified   21.06                   w-P1          -99                                     None          -99                      None
    AT  2022nkw                             ANTARES              ZTF22aaojaak   17:44:34.066   +08:19:32.60 2022-06-23 08:13:41.376    Unclassified 20.1987                  r-ZTF          -99                                     None          -99                      None
    AT  2022nkr                    ATLAS,Pan-STARRS                ATLAS22rkt   16:51:02.441   +24:56:54.00 2022-06-23 09:57:23.904    Unclassified  19.399             cyan-ATLAS          -99                                     None          -99                      None
    AT  2022nhh                        ALeRCE,ATLAS              ZTF22aaokdxp   18:28:06.444   +42:37:46.65 2022-06-18 06:42:08.997    Unclassified 19.7268                  g-ZTF          -99                  SDSSJ182805.83+423746.5          -99                      None
    AT  2022ngv                              ALeRCE              ZTF22aaoxfgq   17:06:40.001   +36:52:04.40 2022-06-19 07:23:42.000    Unclassified 20.9699                  g-ZTF          -99                 WISEAJ170640.02+365157.6     0.159081                      None
    AT  2022nch                      ZTF,Pan-STARRS              ZTF22aaonpjx   16:47:54.639   +24:24:26.57 2022-06-20 06:36:16.416    Unclassified 20.7711                  g-ZTF          -99                                     None          -99                      None
    SN  2022myl  ALeRCE,ATLAS,Pan-STARRS,GaiaAlerts              ZTF22aaohilj   16:51:02.370   +30:39:52.34 2022-06-12 08:39:59.999           SNIIn 20.1363                  r-ZTF       0.0371                  SDSSJ165103.67+303949.0   0.03713505       2022TNSCR1912....1H
    AT  2022myj                   ALeRCE,Pan-STARRS              ZTF22aaokdtm   18:43:53.534   +44:34:07.58 2022-06-18 06:44:51.999    Unclassified 19.4639                  g-ZTF          -99                                     None          -99                      None
    AT  2022mog                          GaiaAlerts                 Gaia22cjx   19:14:59.980   +12:33:14.44 2022-06-07 03:00:00.000    Unclassified   18.43                 G-Gaia          -99                                     None          -99                      None
    AT  2022moe                          GaiaAlerts                 Gaia22cjv   19:20:05.110   +13:59:07.66 2022-06-07 16:46:33.600    Unclassified   18.48                 G-Gaia          -99                                     None          -99                      None
    SN  2022mnz     ZTF,ATLAS,Pan-STARRS,GaiaAlerts              ZTF22aanzrlh   17:03:30.900   +36:25:06.24 2022-06-11 09:52:45.696            SNIa 18.6245                  g-ZTF        0.023                                     None          -99       2022TNSCR1695....1B
    AT  2022mhr            ANTARES,Pan-STARRS,ATLAS              ZTF22aamjutx   17:27:16.643   +41:47:09.39 2022-06-08 10:10:06.816    Unclassified 19.8727                  r-ZTF          -99                                     None          -99                      None
    AT 2022aetn                                XOSS                KATS22N003   18:51:34.640   +20:34:17.30 2022-07-15 15:38:20.832    Unclassified   17.72                 Clear-          -99                                     None          -99                      None
    AT 2022aexw                                XOSS                KATS22O009   18:58:13.340   +11:59:54.70 2022-07-16 17:43:54.048    Unclassified   16.68                 Clear-          -99                                     None          -99                      None
    AT 2022aeyg                                XOSS                KATS22O012   19:04:08.790   +15:24:02.80 2022-07-20 17:18:17.856    Unclassified   18.09                 Clear-          -99                                     None          -99       2024TNSTR4176....1Z
