KELT_ID	2MASS_ID	TIC_ID	In_CTL	TESS_priority	FP_type_name	FP_type	RA_hours	RA_deg	RA_hms	Dec_dms	Dec_deg	Galactic_long	Galactic_lat	Ecliptic_long	Ecliptic_lat	Vmag	Tc	Tc_err	Period_days	Period_err	Duration_hrs	KELT_depth_mmag	EB_K_km/s	EB_depth_mmag	NEB_RA	NEB_Dec	NEB_dist_text	NEB_dist_arcsec	NEB_dist_is_approx_flag	NEB_direction	NEB_depth_text	NEB_depth_percent	NEB_depth_is_approx_flag	NEB_depth_is_lower_limit	NEB_obs_epoch	NEB_obs_filter	
KC04C020587	J06101358+3145499 	97667368	1	0.000873465291242	SB1	1	6.17044167	92.556625	06:10:13.59	31:45:49.9	31.76386111	180.193	6.01011	92.19677778	8.34405556	10.85	2456617.028	0.0077	18.756114	8.9e-05	4.63	26.4	26.0	nan				nan	nan			nan	nan	nan	nan		
KC04C020706	J05252856+2618371 	367088979	1	0.000708311810113	SB1	1	5.4246	81.369	05:25:28.56	26:18:37.2	26.31033333	179.809	-5.17287	82.25747222	3.10272222	11.19	2456657.264	0.0046	8.138828	2.9e-05	3.99	32.6	34.0	nan				nan	nan			nan	nan	nan	nan		
KC04C020923	J05111088+3521274 	367250049	1	0.000748900869087	SB1	1	5.18635833	77.795375	05:11:10.89	35:21:27.6	35.35766667	170.618	-2.49996	79.83436111	12.34808333	7.84	2455963.899	0.003	8.31373	2e-05	4.75	6.5	nan	nan				nan	nan			nan	nan	nan	nan		
KC04C021610	J06023854+2713254 	79681126	1	0.00102438138702	SB1	1	6.04404833	90.660725	06:02:38.574	27:13:25.33	27.22370278	183.378	2.37106	90.58880556	3.78575	11.77	2456628.282	0.015	15.16089	0.00017	9.07	32.5	11.0	nan				nan	nan			nan	nan	nan	nan		
KC04C025875	J05031145+4147090 	121966220	1	0.00096636546119	SB1	1	5.05318028	75.79770417	05:03:11.449	41:47:08.95	41.78581944	164.538	0.110766	78.85111111	18.89463889	11.22	2456657.376	0.035	6.7169	0.00014	6.38	8.8	14.0	nan				nan	nan			nan	nan	nan	nan		
KC04C027710	J05035920+3755545 	122035569	1	0.00104162739194	SB1	1	5.06643889	75.99658333	05:03:59.18	37:55:54.6	37.93183333	167.69	-2.11394	78.60136111	15.04502778	11.17	2456653.76	0.0054	5.47913	1.7e-05	2.5	26.7	39.0	nan				nan	nan			nan	nan	nan	nan		
KC04C029125	J05444689+4011028 	426389397	1	0.000572230448072	SB1	1	5.74635833	86.195375	05:44:46.89	40:11:03.0	40.18416667	170.283	5.69573	86.96483333	16.78494444	11.77	2456656.634	0.0061	3.509363	1.1e-05	4.92	30.1	55.0	nan				nan	nan			nan	nan	nan	nan		
KC04C034715	J06410087+2835175 	284402006	1	0.0006833106189	SB1	1	6.68343611	100.25154167	06:41:00.37	28:35:24.8	28.59022222	186.078	10.5241	99.03191667	5.47177778	12.33	2455958.65	0.03	6.5855	0.0002	5.64	26.5	31.0	nan				nan	nan			nan	nan	nan	nan		
KC04C035187	J06012193+3737039 	174757717	1	0.00162069056819	SB1	1	6.02276389	90.34145833	06:01:21.95	37:37:04.0	37.61777778	174.141	7.21141	90.27897222	14.17880556	9.66	2455958.541	0.005	8.63987	4e-05	2.18	8.2	21.0	nan				nan	nan			nan	nan	nan	nan		
KC04C039350	J06292094+2627493 	84907995	1	0.00118630261194	SB1	1	6.48912222	97.33683333	06:29:20.84	26:27:51.7	26.46436111	186.864	7.26905	96.57469444	3.19236111	11.61	2455957.43	0.02	7.2379	0.0001	6.32	30.3	43.0	nan				nan	nan			nan	nan	nan	nan		
