#prefix name     group           internal_name             RA             DEC            Discovery Time         Type            Mag     Filter                 Redshift     Host Galaxy                              Host Redshift
    SN   2000ck            None                      None   13:58:06.149   +28:25:13.01 2000-05-26 00:00:00.000            SNII    17.0                   None          -99                                   IC4355          -99  None
    SN   2000cr            None                      None   13:58:38.369   +37:26:12.41 2000-06-25 00:00:00.000            SNIc    17.0                   None          -99                                  NGC5395          -99  None
    SN    2000J            None                      None   13:31:16.241   +29:22:32.30 2000-02-04 00:00:00.000            SNII    19.5                   None          -99                                  UGC8510          -99  None
    SN   2001ay            None                      None   14:26:16.999   +26:14:55.79 2001-04-18 00:00:00.000            SNIa    16.9                   None          -99                                   IC4423          -99  None
    SN   2001cj            None                      None   13:21:44.849   +31:14:48.59 2001-05-30 00:00:00.000            SNIa    15.9                   None          -99                                  UGC8399          -99  None
    SN   2001ck            None                      None   14:37:50.081   +30:29:02.18 2001-06-03 00:00:00.000            SNIa    17.2                   None          -99                                  UGC9425          -99  None
    SN   2001co            None                      None   14:19:11.801   +24:47:42.90 2001-06-11 00:00:00.000          SNIb/c    18.5                   None          -99                                  NGC5559          -99  None
    SN   2001cr            None                      None   13:24:22.711   +27:34:33.89 2001-05-20 00:00:00.000            SNIa    23.8                   None          -99                                    Anon.          -99  None
    SN   2001cs            None                      None   13:25:17.321   +27:13:24.20 2001-05-20 00:00:00.000            SNIa    23.5                   None          -99                                    Anon.          -99  None
    SN   2001ct            None                      None   13:24:44.630   +27:15:27.22 2001-05-20 00:00:00.000            SNII    23.4                   None          -99                                    Anon.          -99  None
    SN   2001cu            None                      None   13:25:32.729   +27:41:34.40 2001-05-20 00:00:00.000            SNIa    23.7                   None          -99                                    Anon.          -99  None
    SN   2001cv            None                      None   13:25:34.841   +27:37:02.60 2001-05-20 00:00:00.000            SNIa    24.1                   None          -99                                    Anon.          -99  None
    SN   2001cw            None                      None   15:23:06.310   +29:39:31.90 2001-05-20 00:00:00.000            SNIa    24.3                   None          -99                                    Anon.          -99  None
    SN   2001gd            None                      None   13:13:23.890   +36:38:17.70 2001-11-24 00:00:00.000           SNIIb    16.5                   None          -99                                  NGC5033          -99  None
    SN   2002bz            None                      None   14:24:40.519   +26:37:34.72 2002-04-03 00:00:00.000            SNIa    16.9                   None          -99                             MCG+05-34-33          -99  None
    AT   2002da            None                      None   13:24:35.959   +21:20:08.20 2002-05-16 00:00:00.000    Unclassified    18.8                   None          -99                                    Anon.          -99  None
    SN   2002ec            None                      None   15:19:24.890   +20:53:13.99 2002-07-23 00:00:00.000            SNIa    17.7                   None          -99                                  NGC5910          -99  None
    SN   2002ee            None                      None   14:51:40.550   +40:36:37.30 2002-07-29 00:00:00.000           SNIIP    18.4                   None          -99                                  NGC5772          -99  None
    SN   2002fg            None                      None   13:24:25.920   +27:44:33.90 2002-05-07 00:00:00.000            SNIa    23.7                   None          -99                                    Anon.          -99  None
    SN   2002fh            None                      None   13:25:46.620   +27:34:21.11 2002-05-09 00:00:00.000            SNIc    22.4                   None          -99                                    Anon.          -99  None
    SN    2002G            None                      None   13:07:55.260   +34:05:06.50 2002-01-18 00:00:00.000            SNIa    17.7                   None          -99                                    Anon.          -99  None
    SN   2002jo            None                      None   14:38:16.421   +40:27:14.00 2002-12-11 00:00:00.000            SNIa    16.4                   None          -99                                  NGC5708          -99  None
    SN   2002lh            None                      None   14:44:20.381   +31:15:44.39 2002-06-09 00:00:00.000            SNIa    21.0                   None          -99                                    Anon.          -99  None
    SN   2003ad            None                      None   14:56:28.070   +45:21:09.22 2003-02-03 00:00:00.000            SNII    17.8                   None          -99                                    Anon.          -99  None
    SN   2003an            None                      None   13:27:53.549   +28:30:29.20 2003-02-09 00:00:00.000            SNIa    16.9                   None          -99                             MCG+05-32-22          -99  None
    SN   2003aq            None                      None   14:10:07.241   +17:37:05.30 2003-02-06 00:00:00.000            SNII    18.5                   None          -99                                  NGC5490          -99  None
    SN   2003cr            None                      None   14:58:35.530   +44:53:06.40 2003-03-31 00:00:00.000            SNIc    17.7                   None          -99                                  UGC9639          -99  None
    AT   2003dl            None                      None   14:56:36.250   +30:14:21.52 2003-03-31 00:00:00.000    Unclassified    19.2                   None          -99                                  NGC5789          -99  None
    AT   2003do            None                      None   13:03:29.371   +27:19:11.10 2003-04-08 00:00:00.000    Unclassified    19.9                   None          -99                                    Anon.          -99  None
    AT   2003dp            None                      None   13:13:24.230   +27:56:09.31 2003-04-08 00:00:00.000    Unclassified    20.0                   None          -99                                    Anon.          -99  None
    SN   2003dr            None                      None   14:38:11.129   +46:38:03.41 2003-04-12 00:00:00.000          SNIb/c    17.9                   None          -99                                  NGC5714          -99  None
    SN   2003ed            None                      None   13:47:45.360   +38:18:20.30 2003-05-03 00:00:00.000            SNII    15.2                   None          -99                                  NGC5303          -99  None
    SN   2003el            None                      None   13:09:46.200   +28:54:21.60 2003-05-22 00:00:00.000            SNIc    18.8                   None          -99                                  NGC5000          -99  None
    SN   2003fd            None                      None   13:41:43.699   +40:52:38.50 2003-06-09 00:00:00.000            SNIa    17.8                   None          -99                                  UGC8670          -99  None
    SN   2003hj            None                      None   15:24:20.510   +29:57:11.92 2003-08-19 00:00:00.000            SNIa    17.5                   None          -99                             MCG+05-36-28          -99  None
    SN   2004an            None                      None   14:40:19.570   +16:41:03.80 2004-03-07 00:00:00.000            SNII    18.1                   None          -99                                   IC4483          -99  None
    SN   2004bf            None                      None   13:49:15.451   +35:15:12.49 2004-04-07 00:00:00.000            SNIc    17.5                   None          -99                                  UGC8739          -99  None
    SN   2004co            None                      None   13:28:34.010   +41:51:08.21 2004-04-17 00:00:00.000            SNIa    17.4                   None          -99                                    Anon.          -99  None
    AT   2004df            None                      None   15:08:20.650   +21:52:35.29 2004-06-27 00:00:00.000    Unclassified    18.4                   None          -99                                    Anon.          -99  None
    SN    2004E            None                      None   13:16:51.401   +31:35:11.80 2004-01-15 00:00:00.000            SNIa    16.1                   None          -99                                    Anon.          -99  None
    SN    2004P            None                      None   13:34:57.761   +34:02:33.68 2004-01-23 00:00:00.000            SNIa    16.3                   None          -99                                  UGC8561          -99  None
    SN    2004V            None                      None   14:50:55.330   +17:13:12.61 2004-02-10 00:00:00.000            SNII    18.1                   None          -99                                    Anon.          -99  None
    SN   2005au            None                      None   13:16:12.420   +30:56:40.49 2005-03-19 00:00:00.000            SNII    15.8                   None          -99                                  NGC5056          -99  None
    SN   2005az            None                      None   13:05:46.970   +27:44:08.41 2005-03-28 00:00:00.000            SNIc    17.4                   None          -99                                  NGC4961          -99  None
    SN   2005bc            None                      None   14:37:15.050   +38:27:23.11 2005-04-02 00:00:00.000            SNIa    16.6                   None          -99                                  NGC5698          -99  None
    SN   2005bm            None                      None   15:20:45.101   +36:48:42.52 2005-04-03 00:00:00.000            SNIa    19.5                   None          -99                                    Anon.          -99  None
    SN   2005bv            None                      None   14:24:07.440   +26:17:50.32 2005-04-20 00:00:00.000            SNIa    16.5                   None          -99                                    Anon.          -99  None
